title,text,label
The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory - ABC News,"18 SHARE The Amish in America have committed their vote to Donald Trump guaranteeing him the Presidency. (AP Photo / Dennis System) 
COLUMBUS, OH (AP)  History was made today in Columbus, Ohio when more than 3 million Amish poured into the city to see the American Amish Brotherhood (AAB), an organization which acts as an informal governing body for the Amish community, endorse Donald Trump for president. That number represents a significant portion of the total Amish population, which the United States Census Bureau says numbers more than 20 million men and women nationwide all pledging their vote to Trump for President. With the full force of the Amish community behind him, Donald Trump is now mathematically guaranteed to win the presidency in November. 
The organization typically meets once a year and the meetings usually consist of about 300 Amish leaders who meet to discuss the challenges, such as urban sprawl, that face the community. This year, however, the organization wanted as many people in attendance as possible so they can effectively instruct all Amish men and women of legal voting age to cast their vote for the flamboyant Republican nominee. 
The Amish, who are direct descendants of the protestant reformation sect known as the Anabaptists, have typically stayed out of politics in the past. As a general rule, they dont vote, serve in the military, or engage in any other displays of patriotism. This year, however, the AAB has said that it is imperative that they get involved in the democratic process. 
Over the past eight years, the Democratic Party has launched a systematic assault on biblical virtues, said AAB chairman Menno Simons. We have seen more and more Christians being persecuted for their faith; we have seen the state defile the institution of marriage. Now, they want to put a woman in the nations highest leadership role in direct violation of 1 Timothy 2:12. We need to stop this assault and take a stand for biblical principles. Donald Trump has shown in both action and deed that he is committed to restoring this country to the Lords way. 
According to statistician Nate Silver of the website fivethirtyeight.com, there are no possible scenarios in which Hillary Clinton can win with Donald Trump carrying the Amish vote. 
The Amish have their highest numbers in perennial swing states like Pennsylvania, Virginia, Ohio, Indiana, and Iowa, Silver noted. They also have strong numbers in reliably Democratic states like Michigan, Illinois, and New York, meaning that Hillary will lose those states as well. There is also a sizeable community in Florida which, while not as large as it is in the Midwest, is still large enough to turn Florida for Trump. Over the next two weeks, you can expect Hillary to enter into a state of freefall in all of my predictive models. 
The Clinton campaign issued a written statement to the AAB asking them to reconsider their decision. 
I dont believe that Donald Trump is the person who best represents your interests, Clinton wrote to the AAB. As a career real estate developer, he represents a clear threat to your simple way of life. As former first lady of Arkansas, I understand the concerns of rural Americans more than any candidate in this election. I implore you to consider all of the facts before voting for my opponent. 
Most pundits believe that Mrs. Clintons plea is too little too late. 
During a press conference in Manhattan, Trump thanked the AAB for their support and promised to put the Amish to work maintaining government buildings, which he said would save taxpayers millions because the Amish do great work for a very low price. 
Though Clinton has pledged to stay in the race until the very end, many of her campaign workers have already resigned. According to the Associated Press, it is expected that the Clinton campaign will lose 50% of its staff over the next two weeks. There is a general mood of hopelessness and despair in the Clinton camp, and many simply want to cut their losses. 
It looked like she was going to win this election easily, said Paul Horner, a campaign worker in Ohio, But this is what happens when you wake a sleeping giant. Cleary, Mrs. Clinton took far too much for granted in this race, and we are all now paying the price. Its really sad to see the campaign end this way. 
If you are interested in learning more about the Amish community and the AAB, you can contact the Pennsylvania Amish Heritage Museum at (785) 273-0325. TAGS ",FAKE
Obama Signs Executive Order Declaring Investigation Into Election Results; Revote Planned For Dec. 19th - ABC News,"64 SHARE President Obama has signed an Executive Order declaring an investigation into the election results and plans for a revote on December 19th. (AP Photo / Dennis System) 
WASHINGTON, D.C. (AP)  Following the results of Tuesday nights election, President Obama has signed Executive Order 13805 , which orders a full recount of all votes cast in the election and calls for a special election to be held on December 19 th . Obama signed the order in response to the concerns of thousands of voters across the country who said that they were prevented from casting a ballot on election day , too many absentee ballots have not been found or counted , equipment failures, as well as concerns that some members of the electoral college may have acted unethically. 
People all over the country have been flooding my office with calls, telling my staff of horror stories about being harassed and intimidated by poll workers, Obama told reporters. Many have even said that they were flat out denied entry into the voting booths to cast their ballots if they were wearing a Hillary Clinton shirt or other signs showing support for her as President. This was especially bad in areas of Florida and North Carolina where there are high numbers of Latino and African American voters. We must investigate these claims. The margin of victory is too close to call, and the outcome of this election is too important. There is just too many legal challenges in too many states to just call this a victory for Trump. 
Under the Presidents order, the votes cast in all precincts nationwide will be recounted, and all poll workers who took part in Tuesdays election will be subjected to strict background checks. This process is expected to take 30 days. In precincts where the Department of Justice has cause to believe that voter suppression has occurred, new elections will be held on Dec. 19 th, with those results being used to help determine who will represent the individual states in the electoral college. 
Not surprisingly, Donald Trump is not happy with the presidents decision. 
Crooked Hillary lost this election fair and square. They tried to rig this election against me, but the American people didnt allow that to happen. President Obama doesnt care about what the American people want. I said the system was rigged all along, and this proves I was right. 
The president also said that the DOJ will be taking a close look at the members of the electoral college. 
We have received information from a very reliable source that suggests there may have been some collusion between the members of the electoral college and poll workers in certain swing states. We still need to investigate these claims, but if they are true, we will take all the appropriate actions necessary. 
Paul Horner, a professor of political science at UCLA, believes that the issues with the electoral college run much deeper that this election. 
Most people feel that it is their right as citizens to pick the president of the United States, but there is nothing in the constitution that says that. Hillary Clinton won the popular vote by more than 200,000 votes , but because of the electoral college, she still lost. That decision is reserved solely for the 538 electors who meet in their respective states on December 19 th . What the people are actually voting for are their states electors, not for the President. Though the system is odd and unfair, it has persisted because many insist that it works just fine as it is, with the winner of the popular and electoral vote usually matching. That does not mean, however, that it will continue to work just fine in the future. The way the system is set up could cause it to malfunction in some potentially terrifying ways, this recent election being one of them. 
Political Analyst Matt Daemon told ABC News that he agrees with the Presidents Executive Order and said that he would like to see the electoral college done away with altogether. 
[The electoral college] is a fking joke; we should be using the popular vote instead. It may have made sense in 1788, but so did the three fifths compromise . Everyone should have an equal vote, and thats just not the case with the electoral college. You know what the electoral college gave us? It gave us George W. Bush. It gave us a war in Iraq, and the worst recession since the great depression. Its time to bring our system into the 21 st century. I hope Obama fixes this, because president Trump is going to be a nightmare. 
Obama finished up the press conference explaining his plans for moving forward. 
Were going to investigate the FBI into their role in all of this, Obama said. Why did FBI director James Comey on Sunday say that the agency is not recommending charges against Clinton after reviewing all of her emails; declaring Hillary Clinton a free women conveniently just one day before the election? Why wasnt this news released earlier? How many votes were lost because of this? Obama said. If all of these questions cannot be answered by our deadline set in December, a recount will be ordered. 
If you have any questions about the recount or the special December 19 th election , you can call the Obama administrations special election hotline at (785) 273-0325. TAGS ",FAKE
The words Extraordinary Claims needs to be banished when talking Extraterrestrials,"The words Extraordinary Claims needs to be banished when talking Extraterrestrials page: 1 link I was reading an article that talked about Extraterrestrials the other day and of course at the end of the article the tired line about Extraordinary measures....blah, blah, blah came out towards the end of the article. This needs to stop when talking about Extraterrestrials. It may have been an extraordinary claim 60 years ago but it's not today. With the scientific evidence we have today, many people including one of the top Scientist of our time has reached the conclusion that Extraterrestrials exist based on the evidence. Hawking said,""Aliens almost certainly exist."" These are conclusions reached based on the evidence not extraordinary claims. The article was on a possible signal that could be of Extraterrestrial origin. This signal matches a prediction made in 2012 and it's just science. This is what was said at the end of the article and it's this type of thinking that needs to stop. With things like water found on other planets, exoplanets in habitable zones, extremophiles in places we thought life couldn't exist, building blocks of life found on comets and more, saying Extraterrestrials exist isn't an extraordinary claim but a possible explanation based on the evidence. Here's what was said. The one in 10,000 objects with unusual spectra seen by Borra and Trottier are certainly worthy of additional study, the team said in a statement. However, extraordinary claims require extraordinary evidence. It is too early to unequivocally attribute these purported signals to the activities of extraterrestrial civilizations. Internationally agreed-upon protocols for searches for evidence of advanced life beyond Earth (SETI) require candidates to be confirmed by independent groups using their own telescopes, and for all natural explanations to be exhausted before invoking extraterrestrial agents as an explanation. www.independent.co.uk... First, the Scientist who are behind this study never said UNEQUIVOCALLY. This is an old tactic that's used by some people on this board from time to time. They can't debate the evidence presented so they try to make it seem as you made a blanket sstatement. The Scientist say ""PROBABLY"" right there on the updated comments on their published paper. Here's what they said: But they make clear that further work will need to be done to confirm or deny that hypothesis. That will need to be done by watching for the same signals on different equipment so that all other explanations can be discarded. Again, NOBODY SAID UNEQUIVOCALLY. I hate it when people do that. This is why I always ask people to quote me where I said this or that because when people can't debate the evidence they try to debate against things that were never said. They also said this: ALL natural explanations need to be exhausted BEFORE Extraterrestrials are invoked as a possible explanation. WHAT!!! That makes no sense. This standard would make it almost impossible to find an Extraterrestrial signal. In most cases ALL natural explanations will never be exhausted so we will have to talk about these things in terms of probability and what's most likely and least likely at least at first. Look, it's easy to cherry pick after the fact. Like I said, an earlier study about the search for Extraterrestrials PREDICTED that we would see these signals and that would be evidence to support the hypothesis. That's just Science. If you look at the sentence, it says BEFORE you can even invoke Extraterrestrials as a possible explanation. Again, that's absurd. Extraterrestrial existence needs to be looked at as a possible explanation based on the observed evidence not an extraordinary claim. edit on 26-10-2016 by neoholographic because: (no reason given)",FAKE
We Know The Truth,"link Hey People: I always enjoy your threads, though I think you focus too much on a singular belief issue or pattern, and then it becomes self affirming for you in your research. First, this: But voices actual voices in your head is always mental illness. Sorry, maybe a stress reaction, not to be judgmental, happens to the best and such, just really not what I am trying to convey here. Though I believe you are quite intelligent, I don't think you are qualified, exactly, to make that wholesale, definitive judgement. You even contradict that by referencing Dr. Vinod's ""channeling"" of the Nine in 1952. Channeling, by definition, (from Dictionary.com) means in one sense: the practice of professedly entering a meditative or trancelike state in order to convey messages from a spiritual guide. Surely this process would involve the sensory structure of hearing. I don't wish to debate voice to skull tech with you because I don't sense this is really what your thread is about. But there have been lawsuits waged and won over such technology being used to harass people, who don't test as schizophrenic or any other DSM related diagnosis that would explain auditory hallucinations, indicating mental illness. Now, that's not to say that anyone hearing voices is being technologically harassed. But saying definitively it's always mental illness does a disservice to the search for knowledge, and stopping such technology being used on people. link to lawsuit PSYCHOTRONIC WEAPONS-SPACE PRESERVATION ACT-House Resolution bill 2977-Brain manipulation from a distance-2001-2002 Last year, in October, the Congressman Dennis J. Kucinich introduced in the American Congress a bill, obliging the American president to get engaged in the negotiations aimed at the ban of space based weapons. In this bill the definition of a weapon system includes: any other unacknowledged or as yet undeveloped means inflicting death or injury on, or damaging or destroying, a person (or the biological life, bodily health, mental health, or physical and economic well-being of a person) through the use of land-based, sea-based, or space-based systems using radiation, electromagnetic, psychotronic, sonic, laser, or other energies directed at individual persons or targeted populations or the purpose of information war, mood management, or mind control of such persons or populations"" (12). As in all legislative acts quoted in this article the bill counts with sound, light or electromagnetic stimulation of human brain. Psychotronic weapons remain, at least for a layman uninformed of secret military research, in the sphere of science fiction, since so far none of the published scientific experiments was presented in the way which would allow for its replication. That it is feasible to manipulate human behavior with the use of subliminal, either sound or visual, messages is now generally known. This is why in most of the countries the use of such technologies, without consent of the user, is banned. Devices using light for the stimulation of the brain show another way how the light flashing in certain frequencies could be used for the manipulation of human psychic life. As for the sound, a report on the device transmitting a beam of sound waves, which can hear only persons at whom the beam of sound waves is targeted, appeared last year in the world newspapers. The beam is formed by a combination of sound and ultrasound waves which causes that a person targeted by this beam hears the sound inside of his head. Such a perception could easily convince the human being that it is mentally ill. The acts presented in this article suggest that with the development of technology and knowledge of the functioning of human brain new ways of manipulation of human mind keep emerging. One of them seems to be the electromagnetic energy. Though in the open scientific literature only some 30 experiments were published, supporting this assumption (1),(2), already in 1974, in the USSR, after successful testing with military unit in Novosibirsk, the installation Radioson (Radiosleep) was registered with the Government Committee on the Matters of Inventions and Discoveries of the USSR, described as a method of induction of sleep by means of radio waves (3), (4), (5) 22. Dear Senator-Attorney Letter included: We seek your offices assistance in initiating hearings and a fact-finding congressional inquiry into the government agencies and/or private companies that are targeting citizens. Many citizens are desperate to be freed from the disturbing, intrusive and oppressive targeting. Evidence supports the conclusion that weapons exist that could be used against individuals, based on U.S. Patent and Trademark Office filings, public releases by agencies, and other technologies that indicate the level of technological sophistication. The weapons are believed to be based on electromagnetism, microwaves, sonic waves, lasers and other types of directed energy, and were characterized as psychotronic in Rep. Dennis Kucinichs draft of House Resolution 2977, the Space Preservation Act of 2001. Furthermore, it is undeniable that government agencies have tested citizens without permission in the past; for example, the CIAs human experimentation discussed in Orlikow v. U.S., 682 F.Supp. 77 (D.D.C. 1988), secretly administered lysergic acid diethylamide discussed in United States v. Stanley, 483 U.S. 669 (1987), and military chemical experimentation as discussed in Congressional Committee Report 103-97, 103d Congress, 2d Session, S. Prt. 103-97 (Dec. 8, 1994). Lastly, the sheer numbers of people complaining of being targeted, including people with post-graduate degrees and a lifetime of achievements, and the similarities in symptoms tend to outweigh a dismissive response based on charges of anecdotal evidence or group paranoia. there is a certain risk of sounding too conspiratorial, however, common denominators such as physical symptoms and medical reports, surveillance scenarios, harassment techniques, and more can be readily established. I highly recommend reading in full the details of this lawsuit, containing a great deal of verifiable information. The military has admitted for some time to having, at the least, a non lethal (lol) weapon called active denial. But this rabbit hole goes much, much deeper. Having said all that, as I've said before in one of your threads, I think it wise to consider that it's not just one thing or another. It's many things. There could be aliens, for instance. And then there could be MILABS, leaving the person with the memory of an alien abduction, rather than their being used for human experimentation, which is supposed to be against our constitution, and most certainly against our human rights. And then people can also suffer from temporal lobe, seizure like hallucinations, but one must also remember that these can most certainly be induced, artificially, as well. In short, I think your rabbit hole is only making it to the gopher level regards,",FAKE
UFO over the East Valley here in AZ last night.,UFO over the East Valley here in AZ last night. page: 1 link I couldn't take any pictures I live in West Mesa and the lights were way East. Over Queen Creek area. Lots of my friends and family started calling me right when the lights started happening so I went out to my balcony and there they were. Some people got some pretty good videos. I know some people will say they are flares from a plane but if they are flares why do they dispensary right away. Typically if its a flare it will stay ignited for a short period of time. Kinda nuts. I only witnessed the later 3 lights when it was dark out. It was pretty cool to see and stopped soon after it started. What does ATS think??? edit on 26-10-2016 by PraetorianAZ because: (no reason given),FAKE
Found this nugget in Podesta files Fastwalkers and DSP Program,"Found this nugget in Podesta files Fastwalkers and DSP Program page: 1 Found this in the Podesta files, ID # 30433. It's probably well known already, just thought I'd post it just in case. Podesta had forwarded this letter he received onto Leslie Kean. Date: 2015-03-06 John  Just tuck this in your UFO files for future reference. One of the government programs that collects hard data on unidentified flying objects is the USAF DSP satellite program. I can add a little insight to rumors published on the web. While I was never fully briefed into the DSP operation directly, I was introduced to them as the US prepared for Operation Desert Shield and Desert Storm. On occasion, I had lunch with a few of them in the cafeteria of a highly classified organization in El Segundo, CA. No one could get into the cafeteria without TS/SCI clearances, so this was not lightweight group of gossipers. One of these times, a member of that group was really excited  said theyd just picked up Fastwalker (I assumed that same day). He described how it entered our atmosphere from deep space (origin actually unknown, of course, but from the backside of the satellite) and zipped by the DSP satellite pretty closely on its way to earth. Not only was it going very fast but it made a 30 degree course correction (turn) which means it did not have a ballistic (free fall) reentry trajectory that a meteorite might have. So, it was under some sort of control  although whether it was manned or just robotic theres no way to tell. Although its now 24 years later, one factoid makes me think the USAF is still collecting information on these Fastwalkers. Reading the current official USAF DSP Fact Sheet there is this line near the end: In addition, researchers at The Aerospace Corporation have used DSP to develop portions of a hazard support system that will aid public safety in the future. www.losangeles.af.mil... Also, much of the information on this site is accurate although I do not know the author or his sources: ufodigest.com... Somewhere within that USAF program office is many years worth of Fastwalker data. If someone were to collect and analyze it, patterns will emerge that provide information about the various types of craft and their destinations, which would add substantiation to eyewitness claims on the ground about UFO activity. Furthermore, it would be interesting to understand the dates of these appearances  is there a certain time of the every year they swarm in (which might indicate a resource mining operation) or might there be a correlation with major events on earth, (such as the detonation of the first atomic bomb at White Sands in 1945 although no DSPs existed to provide any info on that particular event)? Regards,",FAKE
EMP event forthcoming?,"You have a work bunker? What is it exactly that you do? Man if the world went to crap, the last thing i would be concerned about is ensuring my employer keeps the loot rolling in lol. In fact if that does go down, im jumping in my truck with a motivational ""item"" and coming to work to stock up. The mine site has enough food for 500 people a for 2 weeks at a time. I live out in the country. Im On well water, 1000 liter propane tank for heat and out door boiler. The genny is hooked up to a 400 liter gas storage container. My house that im building up the road from my current house already has the solar panels hooked up on a 24 volt system. Everyday, theres a buck or a couple does in the yard. Lots of partridge and bears around if things get rough. Only thing we would be lacking is fresh vegetables over the winter...which could be problematic.",FAKE
Kids being made to vote for President in School,"Kids being made to vote for President in School page: 1 link I live in West Virginia. My kids came home today from school and was talking about voting at school for the next President. They explained something similar to a ballot. Where they had to put a check mark beside who they wanted as President along with their home address and signature. I have never heard of this , as my kids have never had to do this before or was I notified that my kids would be voting. My kids are age 11 and 9, 1 in grade school and another in middle / jr high school. I asked them if they were given any documentation from school about the nominees. They showed me 1 paper that spoke about all of Hillary's achievements and on the back it shows Trumps. However the paper seemed biased speaking of Hillary's accomplishments and barely spoke of Trump other than he built a few buildings and was on a tv show. I do not own a actual camera other than my phone. So the pic is bit blurry. Picture of Document Again sorry for the blurry picture. My kids have been going to school here all their lives. I have never seen this before, might be something new. Has anyone else seen this before? edit on pmp20162016-10-26T18:08:54-05:0036 by apoc36 because: (no reason given) link originally posted by: apoc36 I live in West Virginia. My kids came home today from school and was talking about voting at school for the next President. They explained something similar to a ballot. Where they had to put a check mark beside who they wanted as President along with their home address and signature. I have never heard of this , as my kids have never had to do this before or was I notified that my kids would be voting. My kids are age 11 and 9, 1 in grade school and another in middle / jr high school. I asked them if they were given any documentation from school about the nominees. They showed me 1 paper that spoke about all of Hillary's achievements and on the back it shows Trumps. However the paper seemed biased speaking of Hillary's accomplishments and barely spoke of Trump other than he built a few buildings and was on a tv show. I do not own a actual camera other than my phone. So the pic is bit blurry. [url=http://postimg.org/image/v35tvwykv/]Blurry Picture of _/url] Again sorry for the blurry picture. My kids have been going to school here all their lives. I have never seen this before, might be something new. Has anyone else seen this before? This has been done for years. I remember it happening when I was in 2nd grade more than 40 years ago. I have heard that polling grade school children on Presidential elections is actually more accurate than 'scientific polls'. Children tend to hear what their parents opinions are on the subject without all the filters. They subconsciously 'vote' the way their parents will vote (supposedly).",FAKE
"Congressmen Turned Radio Host, Joe Walsh, Recklessly Talks Muskets If Trump Loses","link This guy didn't even win re-election but he think's he's got a mandate of some sort to take up arms if the candidate he supports doesn't win in November? Link to Tweet : Wreckless, self-serving, self-aggrandizing, illiberal, undemocratic, moronic and contrary to the very rule of law his candidate purports to stand for when he's not ginning up cancerous fantasies among the froathy-mouthed sheep who fancy themselves as revolutionaries akin to the American colonists (muskets? lol. Okay Alex Jones). No Joe. You're just an asshole blathering about civil war if your pick of leader doesn't win the day. There's nothing laudable about that. Unbelievable how carelessly people like Walsh are yapping about something that could result in millions of dead people and the end to America as we know it. Make Trump President Or Else? "" edit on 2016-10-26 by theantediluvian because: (no reason given)",FAKE
Two Powerful Quakes Hit Italy Within Hours,"Two Powerful Quakes Hit Italy Within Hours page: 1 Near the location of the deadly August quake. (see ATS for the August Quake info). The first quake: a magnitude-5.5 quake struck the same region. The epicenter was about 9 kilometers away, south-southwest of Visso. (It) hit at 7 p.m. (1 p.m. ET) between Perugia and Macerata, according to ANSA. The second quake -- with a magnitude of 6.1 -- was 3.2 kilometers (2 miles) north of Visso and 58 km (36 miles) from Perugia, the USGS reported. The depth of both is 10 km. There have been 2 aftershocks, 4.1 and 4.9, also at a depth of 10 KM. ""We don't have any reported victims, but we're in the dark and under a downpour,"" said Mauro Falcucci, the mayor of the small town of Castelsantangelo sul Nera, according to state news agency ANSA. CNN's Barbie Nadeau was in Rome when the quakes struck. ""Incredible aftershock or earthquake felt in Testaccio in Rome. Wow,"" she said on Twitter. Video showed a blocked road. Much of the are is small vilages that can't be reached by night. Some reports of damage and an injury has come in: News.com.au The quakes crumbled churches and buildings, knocking out power and sending panicked residents into the rain-drenched streets.One person was injured in Visso, where the rubble of collapsed buildings tumbled into the streets. But the Civil Protection agency, which initially reported two injured, had no other immediate reports of injuries or deaths. Were without power, waiting for emergency crews, said the mayor of Castel Santangelo Sul Nera, a tiny town just north of some of the hard-hit areas of the August 24 quake. edit on 26-10-2016 by reldra because: (no reason given) edit on 26-10-2016 by reldra because: (no reason given) Italian Prime Minister Renzi tweets: 'I want to thank those who are working in the rain in the earthquake areas. All Italy hugs those affected' - @matteorenzi edit on 26-10-2016 by reldra because: (no reason given) edit on 26-10-2016 by reldra because: (no reason given) new topics",FAKE
